factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
sparsity,4.0,fnr_region_2,TwoStep (tuned),twostep_tuned,717,0.6124151153527457,0.3161628922885861,0.5921009592484114,0.08504085711567726,0.985921625544267,0.45836138377256924,False
sparsity,4.0,recall_region_2,TwoStep (tuned),twostep_tuned,717,0.3875848846472543,0.3161628922885861,0.5921009592484113,0.014078374455732947,0.9149591428843226,0.45836138377256924,False
intensity,0.11906916196297226,f1_region_2,λ=8,divtree_lambda8_region2,195,0.36011253805795435,0.3161408845844228,0.43758560662581103,0.0,1.0,0.3452925682792211,False
data_size,43587.85544382496,f1_region_2,TwoStep (tuned),twostep_tuned,211,0.37541008480233895,0.31607604663701966,0.5493587472462572,0.0,1.0,0.34179640817242274,False
intensity,0.47381483315153217,f1_region_2,TwoStep (tuned),twostep_tuned,230,0.42322312115899835,0.31585128916972727,0.5124153455656353,0.0,1.0,0.3442966324839895,False
intensity,0.13359290997532036,f1_region_2,TwoStep (recall),twostep_recall,226,0.40447062413637663,0.3158101449300745,0.5332616694952144,0.0,1.0,0.33572519776697707,False
data_size,95299.98147634632,f1_region_2,TwoStep (recall),twostep_recall,199,0.38797944905983384,0.31563860957637857,0.5199713554530379,0.0,1.0,0.3333058759733296,False
intensity,0.21169951438065343,precision_region_2,λ=2,divtree_lambda2_region2,198,0.5091007119121546,0.3154383965827174,0.4906481697318181,0.0617654313937962,1.0,0.31631647491202214,False
data_size,35845.419997710356,f1_region_2,TwoStep (tuned),twostep_tuned,189,0.38615274565674035,0.3153198589635273,0.5321502735013355,0.0,1.0,0.34179640817242274,False
intensity,0.11906916196297226,f1_region_2,λ=4,divtree_lambda4_region2,195,0.3546490333648539,0.3153043150988692,0.4372580606440378,0.0,1.0,0.3509695534361159,False
intensity,0.2990006969801944,precision_region_2,λ=2,divtree_lambda2_region2,157,0.5293267309541346,0.3151894090043156,0.5965643959041467,0.09756783461275366,1.0,0.31631647491202214,False
data_size,11087.731534380375,f1_region_2,λ=2,divtree_lambda2_region2,220,0.34845336143635436,0.3150897274094085,0.5010623055604044,0.0,1.0,0.35299894724784936,False
intensity,0.21169951438065343,precision_region_2,λ=4,divtree_lambda4_region2,209,0.4955780381476442,0.3150225625217705,0.5213986171167964,0.06482853967527694,1.0,0.3176570223321836,False
rareness,0.0222590323398234,f1_region_2,TwoStep (recall),twostep_recall,222,0.17373737232303002,0.3149042160725524,0.13414389484607403,0.0,1.0,0.3347925455448858,False
data_size,19936.00746568184,precision_region_2,λ=4,divtree_lambda4_region2,204,0.47456426651233174,0.3146920775190957,0.43372376255033995,0.057179457573720734,1.0,0.31479061946893055,False
intensity,0.1498882271567853,precision_region_2,λ=2,divtree_lambda2_region2,175,0.4887845382358401,0.3146578396100045,0.44898938007571965,0.0644411420049004,1.0,0.31631647491202214,False
intensity,0.1498882271567853,precision_region_2,λ=8,divtree_lambda8_region2,203,0.44882168477685336,0.3144808312135453,0.3682698554727123,0.0593876873784186,1.0,0.3150208548477112,False
data_size,115884.31148680957,f1_region_2,TwoStep (recall),twostep_recall,236,0.41524944723150936,0.3143998776325071,0.5316753783702679,0.0,1.0,0.3333058759733296,False
rareness,0.2426635054621208,fnr_region_2,TwoStep (tuned),twostep_tuned,213,0.6204046992377811,0.3143237755447071,0.3945903495953615,0.0,1.0,0.3328522872156383,False
rareness,0.2426635054621208,recall_region_2,TwoStep (tuned),twostep_tuned,213,0.3795953007622189,0.3143237755447071,0.3945903495953615,0.0,1.0,0.33285228721563836,False
data_size,19936.00746568184,precision_region_2,λ=0,divtree_lambda0,166,0.5280567124842229,0.3140491878682917,0.60292357215322,0.1119805720453319,1.0,0.3150305157629184,False
rareness,0.2426635054621208,precision_region_2,λ=0,divtree_lambda0,157,0.5209163558932471,0.31391581203107516,0.6303967708028269,0.22739434478564913,1.0,0.3970608242769601,False
intensity,0.13359290997532036,f1_region_2,λ=8,divtree_lambda8_region2,226,0.3606812656583118,0.3137640337545272,0.49399080624626307,0.0,1.0,0.3452925682792211,False
intensity,0.2990006969801944,precision_region_2,λ=8,divtree_lambda8_region2,167,0.5105261156559838,0.31376050121139254,0.5436999113560049,0.08707115395989827,1.0,0.3150208548477112,False
intensity,0.2375220728879286,f1_region_2,TwoStep (tuned),twostep_tuned,226,0.4015245874069838,0.3133414561592021,0.5673304917997115,0.0,1.0,0.3442966324839895,False
noise,0.04801664771977973,f1_region_2,TwoStep (tuned),twostep_tuned,227,0.4928411646576042,0.31310453429590085,0.3985833494108889,0.0,1.0,0.34331462425450227,False
data_size,455561.95166088303,precision_region_2,λ=2,divtree_lambda2_region2,193,0.6138787847772541,0.31305924091071635,0.6545926944826532,0.20566114143947087,1.0,0.31860070487473857,False
data_size,253368.11425203207,precision_region_2,λ=2,divtree_lambda2_region2,192,0.5820121668025693,0.31273156994217094,0.6738939230588441,0.1830841363554859,1.0,0.31860070487473857,False
data_size,19936.00746568184,precision_region_2,λ=8,divtree_lambda8_region2,219,0.4639820018982537,0.312628363961942,0.4399971809088665,0.07758484609313339,1.0,0.3133870241268255,False
noise,0.13529471303661472,f1_region_2,TwoStep (recall),twostep_recall,234,0.4350544148001726,0.31236286956472153,0.49522186538159035,0.0,1.0,0.33541338825174577,False
noise,4.274750681290067,f1_region_2,λ=8,divtree_lambda8_region2,224,0.3566763722727669,0.31233390709615155,0.47626961749749486,0.0,1.0,0.3497675285395157,False
data_size,374641.26936243696,f1_region_2,TwoStep (recall),twostep_recall,231,0.41151319245445384,0.3119767152963114,0.5267412101909736,0.0,1.0,0.3333058759733296,False
rareness,0.2671528913645983,f1_region_2,λ=0,divtree_lambda0,240,0.3693462351170734,0.31178889142112337,0.36186244172494425,0.0,1.0,0.3684886277994117,False
sparsity,2.0,fnr_region_2,TwoStep (tuned),twostep_tuned,740,0.14439284753607748,0.31178316833851305,0.02598005384378458,0.0,1.0,0.45836138377256924,False
sparsity,2.0,recall_region_2,TwoStep (tuned),twostep_tuned,740,0.8556071524639225,0.31178316833851305,0.025980053843784545,0.0,1.0,0.45836138377256924,False
intensity,0.1681712049266273,f1_region_2,TwoStep (recall),twostep_recall,211,0.390829524950742,0.31169428726598897,0.5088372447211138,0.0,1.0,0.33572519776697707,False
sparsity,2.0,fnr_region_2,TwoStep (recall),twostep_recall,740,0.1495574404214798,0.3116843280764867,0.06455592882239385,0.0,1.0,0.4763170750164102,False
sparsity,2.0,recall_region_2,TwoStep (recall),twostep_recall,740,0.8504425595785201,0.3116843280764867,0.0645559288223938,0.0,1.0,0.4763170750164102,False
rareness,0.36511043497450824,fnr_region_2,λ=4,divtree_lambda4_region2,197,0.2118163628989342,0.3114690043998082,0.24996472082412155,0.0,0.9121491415821015,0.37789458136097254,False
rareness,0.36511043497450824,recall_region_2,λ=4,divtree_lambda4_region2,197,0.7881836371010659,0.3114690043998082,0.24996472082412158,0.08785085841789851,1.0,0.37789458136097254,False
rareness,0.2426635054621208,precision_region_2,λ=4,divtree_lambda4_region2,194,0.5083395620395821,0.31139653813661583,0.6194149802290734,0.2273394813823194,1.0,0.40481784666359927,False
data_size,53002.61908810494,precision_region_2,λ=8,divtree_lambda8_region2,206,0.5186632499822815,0.31132487077950355,0.4961187780168334,0.08656492050550346,1.0,0.3133870241268255,False
intensity,0.11906916196297226,f1_region_2,TwoStep (tuned),twostep_tuned,195,0.3698035560275711,0.3112632654360458,0.5086000757644944,0.0,1.0,0.3442966324839895,False
intensity,0.18868429297579686,f1_region_2,TwoStep (tuned),twostep_tuned,239,0.40253892772481037,0.31125964215136853,0.5101608802360664,0.0,1.0,0.3442966324839895,False
intensity,0.3763920367806187,precision_region_2,λ=0,divtree_lambda0,159,0.5737774468154969,0.31114385579264286,0.6683296715789189,0.14632190076596577,1.0,0.3119724814877106,False
noise,0.09578948302920401,precision_region_2,λ=2,divtree_lambda2_region2,188,0.5425850168348866,0.3104495051734326,0.6921415520553801,0.1491985645933014,1.0,0.31075443045813095,False
sparsity,2.0,fnr_region_2,λ=2,divtree_lambda2_region2,740,0.4103268644329275,0.31044382033531037,0.44857289235636727,0.0,1.0,0.4262964165071911,False
sparsity,2.0,recall_region_2,λ=2,divtree_lambda2_region2,740,0.5896731355670726,0.31044382033531037,0.4485728923563673,0.0,1.0,0.4262964165071911,False
intensity,0.2990006969801944,precision_region_2,λ=4,divtree_lambda4_region2,167,0.5015736465343676,0.31043205307910654,0.5019488625990899,0.09207654071359367,1.0,0.3176570223321836,False
data_size,11087.731534380375,f1_region_2,λ=4,divtree_lambda4_region2,220,0.35857376077301556,0.310418871872558,0.45289436028820773,0.0,1.0,0.35253465799871603,False
noise,0.06781953893881253,precision_region_2,λ=4,divtree_lambda4_region2,179,0.528116123528235,0.31035364681534955,0.5574757918491698,0.1142525112451432,1.0,0.3105831590591568,False
data_size,29478.2599815721,f1_region_2,TwoStep (recall),twostep_recall,239,0.39103505970595653,0.3103298195278896,0.5241959031579203,0.0,1.0,0.3333058759733296,False
rareness,0.36511043497450824,fnr_region_2,λ=8,divtree_lambda8_region2,197,0.21827130408518633,0.3103033763945183,0.3158651609355835,0.0,0.886920293856491,0.375819346622807,False
rareness,0.36511043497450824,recall_region_2,λ=8,divtree_lambda8_region2,197,0.7817286959148139,0.3103033763945183,0.3158651609355835,0.11307970614350904,1.0,0.375819346622807,False
noise,0.760494028068737,precision_region_2,λ=4,divtree_lambda4_region2,203,0.5253893858911739,0.310201326336894,0.520937174927784,0.08637845079946409,1.0,0.3105831590591568,False
intensity,0.9451774034505906,f1_region_2,TwoStep (recall),twostep_recall,200,0.43248491229789904,0.3101444074341202,0.45681514673377904,0.0,1.0,0.33572519776697707,False
