factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
data_size,11294.15008639454,precision_region_2,λ=4,divtree_lambda4_region2,401,0.5822116897513249,0.31710681867244755,0.5816611120494684,0.07746478873239436,1.0,0.3186120202421891,False
rareness,0.41677372843092897,f1_region_2,λ=2,divtree_lambda2_region2,981,0.4855325580375063,0.317064194384046,0.48667302798982187,0.006587914584279873,1.0,0.3714824320098797,False
data_size,4496.35407866857,precision_region_2,λ=2,divtree_lambda2_region2,375,0.5588125360784626,0.31676831093666846,0.5763847516811499,0.056999999999999995,1.0,0.3176964253032731,False
noise,0.8149591878462659,precision_region_2,λ=8,divtree_lambda8_region2,424,0.5449685981701702,0.316720981530927,0.5761862256229415,0.07722672064777329,1.0,0.3258113248335312,False
dispersion,0.08620199281382501,precision_region_2,λ=8,divtree_lambda8_region2,392,0.5699077348415453,0.316646762467481,0.6189327026020575,0.08532608695652173,1.0,0.34277236287307356,False
dispersion,0.264155074578139,precision_region_2,λ=2,divtree_lambda2_region2,780,0.589239533193702,0.316352690739571,0.6312496788322213,0.09905110982938582,1.0,0.32230125594218284,False
noise,0.012924172211646637,precision_region_2,λ=4,divtree_lambda4_region2,406,0.6056687728861011,0.3162181116963382,0.6316076677284048,0.08618421052631578,1.0,0.32221309642920903,False
data_size,4496.35407866857,precision_region_2,λ=4,divtree_lambda4_region2,390,0.5434355225160095,0.3161497536655205,0.5676451722773569,0.061125000000000006,1.0,0.3186120202421891,False
dispersion,0.21114977730367337,precision_region_2,λ=8,divtree_lambda8_region2,828,0.5316954672107419,0.31612305295411663,0.5307284775651429,0.055356046654389195,1.0,0.34277236287307356,False
dispersion,0.4134239376079035,precision_region_2,λ=8,divtree_lambda8_region2,776,0.5407492432636878,0.3160717775650303,0.5459257648624916,0.07607466063348417,1.0,0.34277236287307356,False
dispersion,0.06890472051252551,precision_region_2,λ=2,divtree_lambda2_region2,294,0.5904719195093676,0.31606707139232226,0.5861218161800402,0.0722860791826309,1.0,0.32230125594218284,False
noise,0.0012928585165887505,precision_region_2,λ=4,divtree_lambda4_region2,416,0.6041307223891342,0.3160280790052947,0.6294461564800548,0.09415584415584416,1.0,0.32221309642920903,False
dispersion,0.5172064705241997,precision_region_2,λ=8,divtree_lambda8_region2,779,0.5439908679354929,0.315691520977094,0.5629006895000543,0.06904290429042906,1.0,0.34277236287307356,False
rareness,0.41677372843092897,f1_region_2,λ=4,divtree_lambda4_region2,981,0.484070887800944,0.31566718221084467,0.4882044454455952,0.06260296540362438,1.0,0.3769077654089158,False
dispersion,0.21114977730367337,precision_region_2,λ=2,divtree_lambda2_region2,775,0.5572337460241046,0.3155325929939099,0.5722546051140613,0.06952686447473938,1.0,0.32230125594218284,False
dispersion,0.08620199281382501,precision_region_2,λ=4,divtree_lambda4_region2,383,0.5712211782262071,0.3154051708276473,0.5461659045379961,0.08369565217391305,1.0,0.33917236320782856,False
dispersion,0.06890472051252551,precision_region_2,λ=4,divtree_lambda4_region2,320,0.5651376338405874,0.31533699620901173,0.5801357585184457,0.07664835164835165,1.0,0.33917236320782856,False
dispersion,0.5172064705241997,precision_region_2,λ=4,divtree_lambda4_region2,763,0.5549481633000127,0.3153024853374535,0.5623954052199598,0.07319829130494694,1.0,0.33917236320782856,False
noise,0.12919760763693183,precision_region_2,λ=2,divtree_lambda2_region2,395,0.5926538391623412,0.31520652471282007,0.6232790661867684,0.10218495934959351,1.0,0.31857080858748177,False
noise,0.0051459082904443,precision_region_2,λ=8,divtree_lambda8_region2,399,0.583245184627505,0.3151277098913864,0.5679379077119985,0.07952741702741703,1.0,0.3258113248335312,False
noise,0.8149591878462659,precision_region_2,λ=4,divtree_lambda4_region2,413,0.5540234857169463,0.3151119628486634,0.5669502910882221,0.07099784637473079,1.0,0.32221309642920903,False
dispersion,0.04402631277493798,precision_region_2,λ=4,divtree_lambda4_region2,134,0.6073527692969101,0.31506543867612435,0.6728391767845596,0.11057838660578385,1.0,0.33917236320782856,False
noise,0.002048902761431835,precision_region_2,λ=4,divtree_lambda4_region2,435,0.5560332800818268,0.31502836706516996,0.5555377953903764,0.07606837606837608,1.0,0.32221309642920903,False
data_size,1790.0594419330469,precision_region_2,λ=8,divtree_lambda8_region2,470,0.4443684374797192,0.3150281587187718,0.46484375,0.029563492063492073,1.0,0.31867392607990874,False
data_size,1421.9004443801273,precision_region_2,λ=2,divtree_lambda2_region2,436,0.4995341829390613,0.3149443988296975,0.5370452619519784,0.04940476190476191,1.0,0.3176964253032731,False
dispersion,0.1687805109426452,precision_region_2,λ=8,divtree_lambda8_region2,753,0.5375700471130698,0.3146778802609381,0.5333832335329342,0.06666666666666667,1.0,0.34277236287307356,False
noise,0.2047504283424231,precision_region_2,λ=4,divtree_lambda4_region2,381,0.5945223190066076,0.3146385958700919,0.5821706658128358,0.08333333333333333,1.0,0.32221309642920903,False
sparsity,3.0,f1_region_2,λ=2,divtree_lambda2_region2,1708,0.26465774292348204,0.314465237066656,0.5686439793047372,0.0,0.8617179876240492,0.32042417507994103,False
sparsity,5.0,f1_region_2,λ=4,divtree_lambda4_region2,1741,0.24797987923610468,0.31441055575410864,0.5689469478511622,0.0,0.8499754058042303,0.3168613779798698,False
rareness,0.41677372843092897,f1_region_2,λ=8,divtree_lambda8_region2,981,0.48072027352320845,0.31408078459136,0.48621439527035293,0.0776896106292674,1.0,0.3773597443848267,False
dispersion,0.03519200285202227,precision_region_2,λ=2,divtree_lambda2_region2,82,0.6357604534085007,0.31401697672112233,0.5772291110981937,0.02793040293040292,1.0,0.32230125594218284,False
data_size,2837.030326379124,precision_region_2,λ=2,divtree_lambda2_region2,451,0.5035814319434323,0.3140050945637908,0.5209993546128844,0.06969402622632345,1.0,0.3176964253032731,False
dispersion,0.1687805109426452,precision_region_2,λ=4,divtree_lambda4_region2,729,0.5478357262392144,0.3138832652994988,0.548193302473904,0.07045645263827081,1.0,0.33917236320782856,False
data_size,1421.9004443801273,precision_region_2,λ=8,divtree_lambda8_region2,496,0.4615126751954258,0.31386044858775286,0.508973057473077,0.040178571428571425,1.0,0.31867392607990874,False
dispersion,0.21114977730367337,precision_region_2,λ=4,divtree_lambda4_region2,813,0.5366184337921104,0.31363081566400386,0.5097402597402597,0.0518209715708413,1.0,0.33917236320782856,False
data_size,5660.551766902119,precision_region_2,λ=2,divtree_lambda2_region2,383,0.5742931057037131,0.3136024589195933,0.5376341843424848,0.07534756928668787,1.0,0.3176964253032731,False
noise,0.012924172211646637,precision_region_2,λ=2,divtree_lambda2_region2,386,0.6259742592186198,0.31358937069424514,0.639842501929011,0.09656283566058002,1.0,0.31857080858748177,False
rareness,0.05668836221519578,fnr_region_2,λ=2,divtree_lambda2_region2,243,0.8475560153016719,0.3134962740387513,0.11256184716877404,0.0,1.0,0.4210176578267515,False
rareness,0.05668836221519578,recall_region_2,λ=2,divtree_lambda2_region2,243,0.1524439846983281,0.3134962740387513,0.11256184716877404,0.0,1.0,0.4210176578267515,False
sparsity,6.0,f1_region_2,λ=2,divtree_lambda2_region2,1633,0.25015077529405555,0.31346632969147364,0.5662621554287551,0.0,0.8538125365738167,0.32042417507994103,False
noise,0.08152374553859773,precision_region_2,λ=4,divtree_lambda4_region2,409,0.6112766420323273,0.3134515690422517,0.6275473257028992,0.1043956043956044,1.0,0.32221309642920903,False
dispersion,0.13491305194743766,precision_region_2,λ=2,divtree_lambda2_region2,595,0.5749510367010846,0.3133106527955693,0.5513428450028389,0.08233333333333334,1.0,0.32230125594218284,False
data_size,7126.183958196354,precision_region_2,λ=8,divtree_lambda8_region2,434,0.5446622233560663,0.3129221295213797,0.5355437229426097,0.07500000000000001,1.0,0.31867392607990874,False
dispersion,0.1687805109426452,precision_region_2,λ=2,divtree_lambda2_region2,693,0.568405428730382,0.3127944473445362,0.5636992154121029,0.07658862876254181,1.0,0.32230125594218284,False
noise,0.0051459082904443,precision_region_2,λ=4,divtree_lambda4_region2,392,0.5893230083971106,0.31259730097974797,0.5656468998855988,0.08849620493358634,1.0,0.32221309642920903,False
noise,3.2437464635937765,precision_region_2,λ=8,divtree_lambda8_region2,439,0.48662445771253326,0.312577670173584,0.49622627455646284,0.07058885941644562,1.0,0.3258113248335312,False
sparsity,5.0,f1_region_2,λ=8,divtree_lambda8_region2,1741,0.2496218001569177,0.31240984555758766,0.5689469478511622,0.0,0.8499754058042303,0.31479642463560176,False
data_size,2837.030326379124,precision_region_2,λ=4,divtree_lambda4_region2,482,0.48562267082157945,0.3123144438269314,0.5141511528581165,0.05566239316239316,1.0,0.3186120202421891,False
data_size,28369.168428963523,precision_region_2,λ=8,divtree_lambda8_region2,392,0.6147247268745627,0.31216841238695126,0.6172414894081293,0.10506336475442997,1.0,0.31867392607990874,False
dispersion,0.4134239376079035,precision_region_2,λ=4,divtree_lambda4_region2,762,0.547686237733997,0.31193510243522654,0.5357215259661086,0.08068578639836808,1.0,0.33917236320782856,False
noise,0.8149591878462659,precision_region_2,λ=2,divtree_lambda2_region2,400,0.5738487228239795,0.31188664063324295,0.5685165575774191,0.07857142857142858,1.0,0.31857080858748177,False
rareness,0.26752573998233714,precision_region_2,λ=2,divtree_lambda2_region2,765,0.5387539852842851,0.31158386839381075,0.6509351620510617,0.21032547699214366,1.0,0.44840864800223723,False
data_size,22534.52162028631,precision_region_2,λ=8,divtree_lambda8_region2,410,0.617115035189149,0.31155764245465484,0.6254533799079812,0.11191756272401433,1.0,0.31867392607990874,False
rareness,0.05668836221519578,f1_region_2,λ=0,divtree_lambda0,243,0.14244424913596285,0.3115115132349856,0.0738960113960114,0.0,1.0,0.365592354748749,False
rareness,0.17172392756746951,precision_region_2,TwoStep (recall),twostep_recall,376,0.40294744296875734,0.3114397863775038,0.456812096256499,0.0,1.0,0.3852468728546817,False
data_size,17899.87838123264,precision_region_2,λ=8,divtree_lambda8_region2,389,0.5897913026576312,0.3114280886733856,0.5861089082738566,0.10792567311338644,1.0,0.31867392607990874,False
noise,0.002048902761431835,precision_region_2,λ=2,divtree_lambda2_region2,414,0.5757805628699537,0.31117695542093127,0.5460114081041771,0.09061996779388085,1.0,0.31857080858748177,False
noise,0.2047504283424231,precision_region_2,λ=2,divtree_lambda2_region2,366,0.6075384843010817,0.3111606876610119,0.6149062651939223,0.08131720430107527,1.0,0.31857080858748177,False
sparsity,3.0,f1_region_2,λ=4,divtree_lambda4_region2,1708,0.2659177843072997,0.31113602504031646,0.5512985838196436,0.0,0.860862858253245,0.3168613779798698,False
rareness,0.05668836221519578,precision_region_2,TwoStep (tuned),twostep_tuned,64,0.2267167686386129,0.31108139303233207,0.4630526315789474,0.0,1.0,0.38740544582759256,False
noise,1.2915350821512999,precision_region_2,λ=4,divtree_lambda4_region2,395,0.5314559449608479,0.31101626472206717,0.5224849458645069,0.08257575757575758,1.0,0.32221309642920903,False
noise,3.2437464635937765,precision_region_2,λ=4,divtree_lambda4_region2,415,0.49638358740757577,0.3110150312464378,0.5044384223645972,0.07401194852941177,1.0,0.32221309642920903,False
noise,0.32448540397292847,precision_region_2,λ=8,divtree_lambda8_region2,462,0.5516600466685213,0.31100513267284313,0.5493811486530791,0.07366246498599441,1.0,0.3258113248335312,False
data_size,7126.183958196354,precision_region_2,λ=4,divtree_lambda4_region2,427,0.5532033270959759,0.31094194350021626,0.5536584632384047,0.07822115384615386,1.0,0.3186120202421891,False
dispersion,0.10784142958281023,precision_region_2,λ=4,divtree_lambda4_region2,522,0.574988427118119,0.31071796724825573,0.5689478456743697,0.08703177257525084,1.0,0.33917236320782856,False
data_size,2837.030326379124,precision_region_2,λ=8,divtree_lambda8_region2,493,0.48031110288998496,0.3107062334016886,0.5083874458874459,0.06388888888888888,1.0,0.31867392607990874,False
noise,1.2915350821512999,precision_region_2,λ=8,divtree_lambda8_region2,414,0.5183272585833537,0.31061891064407166,0.5058545496999152,0.08651960784313727,1.0,0.3258113248335312,False
rareness,0.07075567697181442,fnr_region_2,λ=0,divtree_lambda0,360,0.8599399561053189,0.31052094655928936,0.07168737060041408,0.0,1.0,0.4269225696109904,False
rareness,0.07075567697181442,recall_region_2,λ=0,divtree_lambda0,360,0.14006004389468107,0.31052094655928936,0.07168737060041408,0.0,1.0,0.42692256961099034,False
dispersion,0.5172064705241997,precision_region_2,λ=2,divtree_lambda2_region2,713,0.5741935831797583,0.3104960124649367,0.5554643234418515,0.08270422535211268,1.0,0.32230125594218284,False
data_size,11294.15008639454,precision_region_2,λ=2,divtree_lambda2_region2,379,0.6098622729002005,0.3104403196485363,0.607591362843369,0.10003167564143177,1.0,0.3176964253032731,False
sparsity,6.0,f1_region_2,λ=4,divtree_lambda4_region2,1633,0.25531758426248596,0.310295557851705,0.565145328859603,0.0,0.8540134572487101,0.3168613779798698,False
noise,0.020482034030709487,precision_region_2,λ=8,divtree_lambda8_region2,426,0.5626911334190269,0.31010412738549614,0.5407301170233092,0.08389364303178484,1.0,0.3258113248335312,False
rareness,0.26752573998233714,precision_region_2,λ=8,divtree_lambda8_region2,836,0.5200149577185132,0.3096847812213044,0.616912507966986,0.2103638726445744,1.0,0.44668270894847406,False
noise,3.2437464635937765,precision_region_2,λ=2,divtree_lambda2_region2,395,0.5214581784363921,0.30957229360964633,0.5232724396292633,0.07450443097014925,1.0,0.31857080858748177,False
